Date,Close
2015-03-03,147.37
2015-03-04,147.17
2015-03-05,151.17
2015-03-06,149.54
2015-03-09,150.68
2015-03-10,148.16
2015-03-11,147.4
2015-03-12,149.44
2015-03-13,149.28
2015-03-16,149.99
2015-03-17,150.03
2015-03-18,150.93
2015-03-19,151.31
2015-03-20,152.59
2015-03-23,152.93
2015-03-24,153.14
2015-03-25,151.09
2015-03-26,150.06
2015-03-27,150.47
2015-03-30,152.37
2015-03-31,151.5
2015-04-01,150.24
2015-04-02,151.63
2015-04-06,152.5
2015-04-07,151.78
2015-04-08,152
2015-04-09,148.81
2015-04-10,149.64
2015-04-13,149.02
2015-04-14,149.52
2015-04-15,149.07
2015-04-16,147.11
2015-04-17,144.57
2015-04-20,146.31
2015-04-21,147.34
2015-04-22,146.98
2015-04-23,147.3
2015-04-24,148.12
2015-04-27,146.96
2015-04-28,146.61
2015-04-29,144.46
2015-04-30,143.05
2015-05-01,145.39
2015-05-04,145.75
2015-05-05,144.5
2015-05-06,144.77
2015-05-07,144.56
2015-05-08,145.88
2015-05-11,144.27
2015-05-12,144.07
2015-05-13,143.24
2015-05-14,142.6
2015-05-15,144.83
2015-05-18,145.06
2015-05-19,144.74
2015-05-20,143.49
2015-05-21,143.94
2015-05-22,143.68
2015-05-26,143.25
2015-05-27,145.42
2015-05-28,144.26
2015-05-29,142.59
2015-06-01,142.39
2015-06-02,141.4
2015-06-03,142.13
2015-06-04,140.65
2015-06-05,138.78
2015-06-08,138.05
2015-06-09,138.04
2015-06-10,139.43
2015-06-11,139.32
2015-06-12,138.78
2015-06-15,137.23
2015-06-16,137.98
2015-06-17,138.88
2015-06-18,140.5
2015-06-19,140.3
2015-06-22,140.19
2015-06-23,139.65
2015-06-24,138.34
2015-06-25,137.45
2015-06-26,138.06
2015-06-29,135.69
2015-06-30,135.06
2015-07-01,136.49
2015-07-02,136.39
2015-07-06,135.88
2015-07-07,140.5
2015-07-08,139.9
2015-07-09,139.45
2015-07-10,142.72
2015-07-13,144.06
2015-07-14,143.93
2015-07-15,143.63
2015-07-16,144.33
2015-07-17,144.68
2015-07-20,145.04
2015-07-21,144.94
2015-07-22,146.38
2015-07-23,145.6
2015-07-24,144.99
2015-07-27,144.25
2015-07-28,144.55
2015-07-29,145.38
2015-07-30,145.3
2015-07-31,145.3
2015-08-03,145.52
2015-08-04,144.84
2015-08-05,146.89
2015-08-06,146.44
2015-08-07,145.26
2015-08-10,146.25
2015-08-11,145.89
2015-08-12,146.49
2015-08-13,145.27
2015-08-14,146.09
2015-08-17,146.09
2015-08-18,145.63
2015-08-19,145.17
2015-08-20,143.71
2015-08-21,138.99
2015-08-24,132.97
2015-08-25,132.71
2015-08-26,138.16
2015-08-27,140.21
2015-08-28,139.95
2015-08-31,140.05
2015-09-01,138.3
2015-09-02,140.42
2015-09-03,140.48
2015-09-04,138.48
2015-09-08,141.43
2015-09-09,139.68
2015-09-10,140.01
2015-09-11,141.05
2015-09-14,141.15
2015-09-15,142.43
2015-09-16,143.61
2015-09-17,143.35
2015-09-18,141.81
2015-09-21,143.21
2015-09-22,142.65
2015-09-23,145.43
2015-09-24,144.87
2015-09-25,145.55
2015-09-28,143.55
2015-09-29,143.72
2015-09-30,144.57
2015-10-01,144.56
2015-10-02,145.86
2015-10-05,148.07
2015-10-06,148.41
2015-10-07,147.96
2015-10-08,151.66
2015-10-09,153.97
2015-10-12,153.63
2015-10-13,152.28
2015-10-14,149.84
2015-10-15,151.77
2015-10-16,152.06
2015-10-19,153.22
2015-10-20,154.56
2015-10-21,155.21
2015-10-22,158.15
2015-10-23,155.74
2015-10-26,156.73
2015-10-27,157.76
2015-10-28,157.76
2015-10-29,158.28
2015-10-30,158.12
2015-11-02,159.15
2015-11-03,158.8
2015-11-04,157.15
2015-11-05,156.27
2015-11-06,157.55
2015-11-09,155.16
